Occupational Area,Typical Annual Salary,Counties
Construction & Extraction,"$72,430 ",Livingston County
"Installation, Maintenance, & Repair","$61,100 ",Livingston County
Production,"$47,900 ",Livingston County
Transportation & Material Moving,"$50,710 ",Livingston County
Management,"$170,150 ",Madison County
Business & Financial Operations,"$107,140 ",Madison County
Computer & Mathematical,"$117,170 ",Madison County
Architecture & Engineering,"$94,490 ",Madison County
"Life, Physical, & Social Science","$88,260 ",Madison County
Community & Social Service,"$62,520 ",Madison County
Legal,"$155,400 ",Madison County
"Education, Training, & Library","$78,630 ",Madison County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Madison County
Healthcare Practitioners & Technical,"$110,890 ",Madison County
Healthcare Support,"$38,190 ",Madison County
Protective Service,"$61,410 ",Madison County
Food Preparation & Serving Related,"$40,820 ",Madison County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Madison County
Personal Care & Service,"$44,260 ",Madison County
Sales & Related,"$66,550 ",Madison County
Office & Administrative Support,"$52,820 ",Madison County
"Farming, Fishing, & Forestry","$41,320 ",Madison County
Construction & Extraction,"$72,430 ",Madison County
"Installation, Maintenance, & Repair","$61,100 ",Madison County
Production,"$47,900 ",Madison County
Transportation & Material Moving,"$50,710 ",Madison County
Management,"$170,150 ",Monroe County
Business & Financial Operations,"$107,140 ",Monroe County
Computer & Mathematical,"$117,170 ",Monroe County
Architecture & Engineering,"$94,490 ",Monroe County
"Life, Physical, & Social Science","$88,260 ",Monroe County
Community & Social Service,"$62,520 ",Monroe County
Legal,"$155,400 ",Monroe County
"Education, Training, & Library","$78,630 ",Monroe County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Monroe County
Healthcare Practitioners & Technical,"$110,890 ",Monroe County
Healthcare Support,"$38,190 ",Monroe County
Protective Service,"$61,410 ",Monroe County
Food Preparation & Serving Related,"$40,820 ",Monroe County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Monroe County
Personal Care & Service,"$44,260 ",Monroe County
Sales & Related,"$66,550 ",Monroe County
Office & Administrative Support,"$52,820 ",Monroe County
"Farming, Fishing, & Forestry","$41,320 ",Monroe County
Construction & Extraction,"$72,430 ",Monroe County
"Installation, Maintenance, & Repair","$61,100 ",Monroe County
Production,"$47,900 ",Monroe County
Transportation & Material Moving,"$50,710 ",Monroe County
Management,"$170,150 ",Montgomery County
Business & Financial Operations,"$107,140 ",Montgomery County
Computer & Mathematical,"$117,170 ",Montgomery County
Architecture & Engineering,"$94,490 ",Montgomery County
"Life, Physical, & Social Science","$88,260 ",Montgomery County
Community & Social Service,"$62,520 ",Montgomery County
Legal,"$155,400 ",Montgomery County
"Education, Training, & Library","$78,630 ",Montgomery County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Montgomery County
Healthcare Practitioners & Technical,"$110,890 ",Montgomery County
Healthcare Support,"$38,190 ",Montgomery County
Protective Service,"$61,410 ",Montgomery County
Food Preparation & Serving Related,"$40,820 ",Montgomery County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Montgomery County
Personal Care & Service,"$44,260 ",Montgomery County
Sales & Related,"$66,550 ",Montgomery County
Office & Administrative Support,"$52,820 ",Montgomery County
"Farming, Fishing, & Forestry","$41,320 ",Montgomery County
Construction & Extraction,"$72,430 ",Montgomery County
"Installation, Maintenance, & Repair","$61,100 ",Montgomery County
Production,"$47,900 ",Montgomery County
Transportation & Material Moving,"$50,710 ",Montgomery County
Management,"$170,150 ",Nassau County
Business & Financial Operations,"$107,140 ",Nassau County
Computer & Mathematical,"$117,170 ",Nassau County
Architecture & Engineering,"$94,490 ",Nassau County
"Life, Physical, & Social Science","$88,260 ",Nassau County
Community & Social Service,"$62,520 ",Nassau County
Legal,"$155,400 ",Nassau County
"Education, Training, & Library","$78,630 ",Nassau County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Nassau County
Healthcare Practitioners & Technical,"$110,890 ",Nassau County
Healthcare Support,"$38,190 ",Nassau County
Protective Service,"$61,410 ",Nassau County
Food Preparation & Serving Related,"$40,820 ",Nassau County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Nassau County
Personal Care & Service,"$44,260 ",Nassau County
Sales & Related,"$66,550 ",Nassau County
Office & Administrative Support,"$52,820 ",Nassau County
"Farming, Fishing, & Forestry","$41,320 ",Nassau County
Construction & Extraction,"$72,430 ",Nassau County
"Installation, Maintenance, & Repair","$61,100 ",Nassau County
Production,"$47,900 ",Nassau County
Transportation & Material Moving,"$50,710 ",Nassau County
Management,"$170,150 ",New York County
Business & Financial Operations,"$107,140 ",New York County
Computer & Mathematical,"$117,170 ",New York County
Architecture & Engineering,"$94,490 ",New York County
"Life, Physical, & Social Science","$88,260 ",New York County
Community & Social Service,"$62,520 ",New York County
Legal,"$155,400 ",New York County
"Education, Training, & Library","$78,630 ",New York County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",New York County
Healthcare Practitioners & Technical,"$110,890 ",New York County
Healthcare Support,"$38,190 ",New York County
Protective Service,"$61,410 ",New York County
Food Preparation & Serving Related,"$40,820 ",New York County
Building & Grounds Cleaning & Maintenance,"$42,720 ",New York County
Personal Care & Service,"$44,260 ",New York County
Sales & Related,"$66,550 ",New York County
Office & Administrative Support,"$52,820 ",New York County
"Farming, Fishing, & Forestry","$41,320 ",New York County
Construction & Extraction,"$72,430 ",New York County
"Installation, Maintenance, & Repair","$61,100 ",New York County
Production,"$47,900 ",New York County
Transportation & Material Moving,"$50,710 ",New York County
Management,"$170,150 ",Niagara County
Business & Financial Operations,"$107,140 ",Niagara County
Computer & Mathematical,"$117,170 ",Niagara County
Architecture & Engineering,"$94,490 ",Niagara County
"Life, Physical, & Social Science","$88,260 ",Niagara County
Community & Social Service,"$62,520 ",Niagara County
Legal,"$155,400 ",Niagara County
"Education, Training, & Library","$78,630 ",Niagara County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Niagara County
Healthcare Practitioners & Technical,"$110,890 ",Niagara County
Healthcare Support,"$38,190 ",Niagara County
Protective Service,"$61,410 ",Niagara County
Food Preparation & Serving Related,"$40,820 ",Niagara County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Niagara County
Personal Care & Service,"$44,260 ",Niagara County
Sales & Related,"$66,550 ",Niagara County
Office & Administrative Support,"$52,820 ",Niagara County
"Farming, Fishing, & Forestry","$41,320 ",Niagara County
Construction & Extraction,"$72,430 ",Niagara County
"Installation, Maintenance, & Repair","$61,100 ",Niagara County
Production,"$47,900 ",Niagara County
Transportation & Material Moving,"$50,710 ",Niagara County
Management,"$170,150 ",Oneida County
Business & Financial Operations,"$107,140 ",Oneida County
Computer & Mathematical,"$117,170 ",Oneida County
Architecture & Engineering,"$94,490 ",Oneida County
"Life, Physical, & Social Science","$88,260 ",Oneida County
Community & Social Service,"$62,520 ",Oneida County
Legal,"$155,400 ",Oneida County
"Education, Training, & Library","$78,630 ",Oneida County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Oneida County
Healthcare Practitioners & Technical,"$110,890 ",Oneida County
Healthcare Support,"$38,190 ",Oneida County
Protective Service,"$61,410 ",Oneida County
Food Preparation & Serving Related,"$40,820 ",Oneida County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Oneida County
Personal Care & Service,"$44,260 ",Oneida County
Sales & Related,"$66,550 ",Oneida County
Office & Administrative Support,"$52,820 ",Oneida County
"Farming, Fishing, & Forestry","$41,320 ",Oneida County
Construction & Extraction,"$72,430 ",Oneida County
"Installation, Maintenance, & Repair","$61,100 ",Oneida County
Production,"$47,900 ",Oneida County
Transportation & Material Moving,"$50,710 ",Oneida County
Management,"$170,150 ",Onondaga County
Business & Financial Operations,"$107,140 ",Onondaga County
Computer & Mathematical,"$117,170 ",Onondaga County
Architecture & Engineering,"$94,490 ",Onondaga County
"Life, Physical, & Social Science","$88,260 ",Onondaga County
Community & Social Service,"$62,520 ",Onondaga County
Legal,"$155,400 ",Onondaga County
"Education, Training, & Library","$78,630 ",Onondaga County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Onondaga County
Healthcare Practitioners & Technical,"$110,890 ",Onondaga County
Healthcare Support,"$38,190 ",Onondaga County
Protective Service,"$61,410 ",Onondaga County
Food Preparation & Serving Related,"$40,820 ",Onondaga County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Onondaga County
Personal Care & Service,"$44,260 ",Onondaga County
Sales & Related,"$66,550 ",Onondaga County
Office & Administrative Support,"$52,820 ",Onondaga County
"Farming, Fishing, & Forestry","$41,320 ",Onondaga County
Construction & Extraction,"$72,430 ",Onondaga County
"Installation, Maintenance, & Repair","$61,100 ",Onondaga County
Production,"$47,900 ",Onondaga County
Transportation & Material Moving,"$50,710 ",Onondaga County
Management,"$170,150 ",Ontario County
Business & Financial Operations,"$107,140 ",Ontario County
Computer & Mathematical,"$117,170 ",Ontario County
Architecture & Engineering,"$94,490 ",Ontario County
"Life, Physical, & Social Science","$88,260 ",Ontario County
Community & Social Service,"$62,520 ",Ontario County
Legal,"$155,400 ",Ontario County
"Education, Training, & Library","$78,630 ",Ontario County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Ontario County
Healthcare Practitioners & Technical,"$110,890 ",Ontario County
Healthcare Support,"$38,190 ",Ontario County
Protective Service,"$61,410 ",Ontario County
Food Preparation & Serving Related,"$40,820 ",Ontario County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Ontario County
Personal Care & Service,"$44,260 ",Ontario County
Sales & Related,"$66,550 ",Ontario County
Office & Administrative Support,"$52,820 ",Ontario County
"Farming, Fishing, & Forestry","$41,320 ",Ontario County
Construction & Extraction,"$72,430 ",Ontario County
"Installation, Maintenance, & Repair","$61,100 ",Ontario County
Production,"$47,900 ",Ontario County
Transportation & Material Moving,"$50,710 ",Ontario County
Management,"$170,150 ",Orange County
Business & Financial Operations,"$107,140 ",Orange County
Computer & Mathematical,"$117,170 ",Orange County
Architecture & Engineering,"$94,490 ",Orange County
"Life, Physical, & Social Science","$88,260 ",Orange County
Community & Social Service,"$62,520 ",Orange County
Legal,"$155,400 ",Orange County
"Education, Training, & Library","$78,630 ",Orange County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Orange County
Healthcare Practitioners & Technical,"$110,890 ",Orange County
Healthcare Support,"$38,190 ",Orange County
Protective Service,"$61,410 ",Orange County
Food Preparation & Serving Related,"$40,820 ",Orange County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Orange County
Personal Care & Service,"$44,260 ",Orange County
Sales & Related,"$66,550 ",Orange County
Office & Administrative Support,"$52,820 ",Orange County
"Farming, Fishing, & Forestry","$41,320 ",Orange County
Construction & Extraction,"$72,430 ",Orange County
"Installation, Maintenance, & Repair","$61,100 ",Orange County
Production,"$47,900 ",Orange County
Transportation & Material Moving,"$50,710 ",Orange County
Management,"$170,150 ",Orleans County
Business & Financial Operations,"$107,140 ",Orleans County
Computer & Mathematical,"$117,170 ",Orleans County
Architecture & Engineering,"$94,490 ",Orleans County
"Life, Physical, & Social Science","$88,260 ",Orleans County
Community & Social Service,"$62,520 ",Orleans County
Legal,"$155,400 ",Orleans County
"Education, Training, & Library","$78,630 ",Orleans County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Orleans County
Healthcare Practitioners & Technical,"$110,890 ",Orleans County
Healthcare Support,"$38,190 ",Orleans County
Protective Service,"$61,410 ",Orleans County
Food Preparation & Serving Related,"$40,820 ",Orleans County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Orleans County
Personal Care & Service,"$44,260 ",Orleans County
Sales & Related,"$66,550 ",Orleans County
Office & Administrative Support,"$52,820 ",Orleans County
"Farming, Fishing, & Forestry","$41,320 ",Orleans County
Construction & Extraction,"$72,430 ",Orleans County
"Installation, Maintenance, & Repair","$61,100 ",Orleans County
Production,"$47,900 ",Orleans County
Transportation & Material Moving,"$50,710 ",Orleans County
Management,"$170,150 ",Oswego County
Business & Financial Operations,"$107,140 ",Oswego County
Computer & Mathematical,"$117,170 ",Oswego County
Architecture & Engineering,"$94,490 ",Oswego County
"Life, Physical, & Social Science","$88,260 ",Oswego County
Community & Social Service,"$62,520 ",Oswego County
Legal,"$155,400 ",Oswego County
"Education, Training, & Library","$78,630 ",Oswego County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Oswego County
Healthcare Practitioners & Technical,"$110,890 ",Oswego County
Healthcare Support,"$38,190 ",Oswego County
Protective Service,"$61,410 ",Oswego County
Food Preparation & Serving Related,"$40,820 ",Oswego County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Oswego County
Personal Care & Service,"$44,260 ",Oswego County
Sales & Related,"$66,550 ",Oswego County
Office & Administrative Support,"$52,820 ",Oswego County
"Farming, Fishing, & Forestry","$41,320 ",Oswego County
Construction & Extraction,"$72,430 ",Oswego County
"Installation, Maintenance, & Repair","$61,100 ",Oswego County
Production,"$47,900 ",Oswego County
Transportation & Material Moving,"$50,710 ",Oswego County
Management,"$170,150 ",Otsego County
Business & Financial Operations,"$107,140 ",Otsego County
Computer & Mathematical,"$117,170 ",Otsego County
Architecture & Engineering,"$94,490 ",Otsego County
"Life, Physical, & Social Science","$88,260 ",Otsego County
Community & Social Service,"$62,520 ",Otsego County
Legal,"$155,400 ",Otsego County
"Education, Training, & Library","$78,630 ",Otsego County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Otsego County
Healthcare Practitioners & Technical,"$110,890 ",Otsego County
Healthcare Support,"$38,190 ",Otsego County
Protective Service,"$61,410 ",Otsego County
Food Preparation & Serving Related,"$40,820 ",Otsego County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Otsego County
Personal Care & Service,"$44,260 ",Otsego County
Sales & Related,"$66,550 ",Otsego County
Office & Administrative Support,"$52,820 ",Otsego County
"Farming, Fishing, & Forestry","$41,320 ",Otsego County
Construction & Extraction,"$72,430 ",Otsego County
"Installation, Maintenance, & Repair","$61,100 ",Otsego County
Production,"$47,900 ",Otsego County
Transportation & Material Moving,"$50,710 ",Otsego County
Management,"$170,150 ",Putnam County
Business & Financial Operations,"$107,140 ",Putnam County
Computer & Mathematical,"$117,170 ",Putnam County
Architecture & Engineering,"$94,490 ",Putnam County
"Life, Physical, & Social Science","$88,260 ",Putnam County
Community & Social Service,"$62,520 ",Putnam County
Legal,"$155,400 ",Putnam County
"Education, Training, & Library","$78,630 ",Putnam County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Putnam County
Healthcare Practitioners & Technical,"$110,890 ",Putnam County
Healthcare Support,"$38,190 ",Putnam County
Protective Service,"$61,410 ",Putnam County
Food Preparation & Serving Related,"$40,820 ",Putnam County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Putnam County
Personal Care & Service,"$44,260 ",Putnam County
Sales & Related,"$66,550 ",Putnam County
Office & Administrative Support,"$52,820 ",Putnam County
"Farming, Fishing, & Forestry","$41,320 ",Putnam County
Construction & Extraction,"$72,430 ",Putnam County
"Installation, Maintenance, & Repair","$61,100 ",Putnam County
Production,"$47,900 ",Putnam County
Transportation & Material Moving,"$50,710 ",Putnam County
Management,"$170,150 ",Queens County
Business & Financial Operations,"$107,140 ",Queens County
Computer & Mathematical,"$117,170 ",Queens County
Architecture & Engineering,"$94,490 ",Queens County
"Life, Physical, & Social Science","$88,260 ",Queens County
Community & Social Service,"$62,520 ",Queens County
Legal,"$155,400 ",Queens County
"Education, Training, & Library","$78,630 ",Queens County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Queens County
Healthcare Practitioners & Technical,"$110,890 ",Queens County
Healthcare Support,"$38,190 ",Queens County
Protective Service,"$61,410 ",Queens County
Food Preparation & Serving Related,"$40,820 ",Queens County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Queens County
Personal Care & Service,"$44,260 ",Queens County
Sales & Related,"$66,550 ",Queens County
Office & Administrative Support,"$52,820 ",Queens County
"Farming, Fishing, & Forestry","$41,320 ",Queens County
Construction & Extraction,"$72,430 ",Queens County
"Installation, Maintenance, & Repair","$61,100 ",Queens County
Production,"$47,900 ",Queens County
Transportation & Material Moving,"$50,710 ",Queens County
Management,"$170,150 ",Rensselaer County
Business & Financial Operations,"$107,140 ",Rensselaer County
Computer & Mathematical,"$117,170 ",Rensselaer County
Architecture & Engineering,"$94,490 ",Rensselaer County
"Life, Physical, & Social Science","$88,260 ",Rensselaer County
Community & Social Service,"$62,520 ",Rensselaer County
Legal,"$155,400 ",Rensselaer County
"Education, Training, & Library","$78,630 ",Rensselaer County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Rensselaer County
Healthcare Practitioners & Technical,"$110,890 ",Rensselaer County
Healthcare Support,"$38,190 ",Rensselaer County
Protective Service,"$61,410 ",Rensselaer County
Food Preparation & Serving Related,"$40,820 ",Rensselaer County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Rensselaer County
Personal Care & Service,"$44,260 ",Rensselaer County
Sales & Related,"$66,550 ",Rensselaer County
Office & Administrative Support,"$52,820 ",Rensselaer County
"Farming, Fishing, & Forestry","$41,320 ",Rensselaer County
Construction & Extraction,"$72,430 ",Rensselaer County
"Installation, Maintenance, & Repair","$61,100 ",Rensselaer County
Production,"$47,900 ",Rensselaer County
Transportation & Material Moving,"$50,710 ",Rensselaer County
Management,"$170,150 ",Richmond County
Business & Financial Operations,"$107,140 ",Richmond County
Computer & Mathematical,"$117,170 ",Richmond County
Architecture & Engineering,"$94,490 ",Richmond County
"Life, Physical, & Social Science","$88,260 ",Richmond County
Community & Social Service,"$62,520 ",Richmond County
Legal,"$155,400 ",Richmond County
"Education, Training, & Library","$78,630 ",Richmond County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Richmond County
Healthcare Practitioners & Technical,"$110,890 ",Richmond County
Healthcare Support,"$38,190 ",Richmond County
Protective Service,"$61,410 ",Richmond County
Food Preparation & Serving Related,"$40,820 ",Richmond County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Richmond County
Personal Care & Service,"$44,260 ",Richmond County
Sales & Related,"$66,550 ",Richmond County
Office & Administrative Support,"$52,820 ",Richmond County
"Farming, Fishing, & Forestry","$41,320 ",Richmond County
Construction & Extraction,"$72,430 ",Richmond County
"Installation, Maintenance, & Repair","$61,100 ",Richmond County
Production,"$47,900 ",Richmond County
Transportation & Material Moving,"$50,710 ",Richmond County
Management,"$170,150 ",Rockland County
Business & Financial Operations,"$107,140 ",Rockland County
Computer & Mathematical,"$117,170 ",Rockland County
Architecture & Engineering,"$94,490 ",Rockland County
"Life, Physical, & Social Science","$88,260 ",Rockland County
Community & Social Service,"$62,520 ",Rockland County
Legal,"$155,400 ",Rockland County
"Education, Training, & Library","$78,630 ",Rockland County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Rockland County
Healthcare Practitioners & Technical,"$110,890 ",Rockland County
Healthcare Support,"$38,190 ",Rockland County
Protective Service,"$61,410 ",Rockland County
Food Preparation & Serving Related,"$40,820 ",Rockland County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Rockland County
Personal Care & Service,"$44,260 ",Rockland County
Sales & Related,"$66,550 ",Rockland County
Office & Administrative Support,"$52,820 ",Rockland County
"Farming, Fishing, & Forestry","$41,320 ",Rockland County
Construction & Extraction,"$72,430 ",Rockland County
"Installation, Maintenance, & Repair","$61,100 ",Rockland County
Production,"$47,900 ",Rockland County
Transportation & Material Moving,"$50,710 ",Rockland County
Management,"$170,150 ",Saratoga County
Business & Financial Operations,"$107,140 ",Saratoga County
Computer & Mathematical,"$117,170 ",Saratoga County
Architecture & Engineering,"$94,490 ",Saratoga County
"Life, Physical, & Social Science","$88,260 ",Saratoga County
Community & Social Service,"$62,520 ",Saratoga County
Legal,"$155,400 ",Saratoga County
"Education, Training, & Library","$78,630 ",Saratoga County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Saratoga County
Healthcare Practitioners & Technical,"$110,890 ",Saratoga County
Healthcare Support,"$38,190 ",Saratoga County
Protective Service,"$61,410 ",Saratoga County
Food Preparation & Serving Related,"$40,820 ",Saratoga County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Saratoga County
Personal Care & Service,"$44,260 ",Saratoga County
Sales & Related,"$66,550 ",Saratoga County
Office & Administrative Support,"$52,820 ",Saratoga County
"Farming, Fishing, & Forestry","$41,320 ",Saratoga County
Construction & Extraction,"$72,430 ",Saratoga County
"Installation, Maintenance, & Repair","$61,100 ",Saratoga County
Production,"$47,900 ",Saratoga County
Transportation & Material Moving,"$50,710 ",Saratoga County
Management,"$170,150 ",Schenectady County
Business & Financial Operations,"$107,140 ",Schenectady County
Computer & Mathematical,"$117,170 ",Schenectady County
Architecture & Engineering,"$94,490 ",Schenectady County
"Life, Physical, & Social Science","$88,260 ",Schenectady County
Community & Social Service,"$62,520 ",Schenectady County
Legal,"$155,400 ",Schenectady County
"Education, Training, & Library","$78,630 ",Schenectady County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Schenectady County
Healthcare Practitioners & Technical,"$110,890 ",Schenectady County
Healthcare Support,"$38,190 ",Schenectady County
Protective Service,"$61,410 ",Schenectady County
Food Preparation & Serving Related,"$40,820 ",Schenectady County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Schenectady County
Personal Care & Service,"$44,260 ",Schenectady County
Sales & Related,"$66,550 ",Schenectady County
Office & Administrative Support,"$52,820 ",Schenectady County
"Farming, Fishing, & Forestry","$41,320 ",Schenectady County
Construction & Extraction,"$72,430 ",Schenectady County
"Installation, Maintenance, & Repair","$61,100 ",Schenectady County
Production,"$47,900 ",Schenectady County
Transportation & Material Moving,"$50,710 ",Schenectady County
Management,"$170,150 ",Schoharie County
Business & Financial Operations,"$107,140 ",Schoharie County
Computer & Mathematical,"$117,170 ",Schoharie County
Architecture & Engineering,"$94,490 ",Schoharie County
"Life, Physical, & Social Science","$88,260 ",Schoharie County
Community & Social Service,"$62,520 ",Schoharie County
Legal,"$155,400 ",Schoharie County
"Education, Training, & Library","$78,630 ",Schoharie County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Schoharie County
Healthcare Practitioners & Technical,"$110,890 ",Schoharie County
Healthcare Support,"$38,190 ",Schoharie County
Protective Service,"$61,410 ",Schoharie County
Food Preparation & Serving Related,"$40,820 ",Schoharie County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Schoharie County
Personal Care & Service,"$44,260 ",Schoharie County
Sales & Related,"$66,550 ",Schoharie County
Office & Administrative Support,"$52,820 ",Schoharie County
"Farming, Fishing, & Forestry","$41,320 ",Schoharie County
Construction & Extraction,"$72,430 ",Schoharie County
"Installation, Maintenance, & Repair","$61,100 ",Schoharie County
Production,"$47,900 ",Schoharie County
Transportation & Material Moving,"$50,710 ",Schoharie County
Management,"$170,150 ",Schuyler County
Business & Financial Operations,"$107,140 ",Schuyler County
Computer & Mathematical,"$117,170 ",Schuyler County
Architecture & Engineering,"$94,490 ",Schuyler County
"Life, Physical, & Social Science","$88,260 ",Schuyler County
Community & Social Service,"$62,520 ",Schuyler County
Legal,"$155,400 ",Schuyler County
"Education, Training, & Library","$78,630 ",Schuyler County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Schuyler County
Healthcare Practitioners & Technical,"$110,890 ",Schuyler County
Healthcare Support,"$38,190 ",Schuyler County
Protective Service,"$61,410 ",Schuyler County
Food Preparation & Serving Related,"$40,820 ",Schuyler County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Schuyler County
Personal Care & Service,"$44,260 ",Schuyler County
Sales & Related,"$66,550 ",Schuyler County
Office & Administrative Support,"$52,820 ",Schuyler County
"Farming, Fishing, & Forestry","$41,320 ",Schuyler County
Construction & Extraction,"$72,430 ",Schuyler County
"Installation, Maintenance, & Repair","$61,100 ",Schuyler County
Production,"$47,900 ",Schuyler County
Transportation & Material Moving,"$50,710 ",Schuyler County
Management,"$170,150 ",Seneca County
Business & Financial Operations,"$107,140 ",Seneca County
Computer & Mathematical,"$117,170 ",Seneca County
Architecture & Engineering,"$94,490 ",Seneca County
"Life, Physical, & Social Science","$88,260 ",Seneca County
Community & Social Service,"$62,520 ",Seneca County
Legal,"$155,400 ",Seneca County
"Education, Training, & Library","$78,630 ",Seneca County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Seneca County
Healthcare Practitioners & Technical,"$110,890 ",Seneca County
Healthcare Support,"$38,190 ",Seneca County
Protective Service,"$61,410 ",Seneca County
Food Preparation & Serving Related,"$40,820 ",Seneca County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Seneca County
Personal Care & Service,"$44,260 ",Seneca County
Sales & Related,"$66,550 ",Seneca County
Office & Administrative Support,"$52,820 ",Seneca County
"Farming, Fishing, & Forestry","$41,320 ",Seneca County
Construction & Extraction,"$72,430 ",Seneca County
"Installation, Maintenance, & Repair","$61,100 ",Seneca County
Production,"$47,900 ",Seneca County
Transportation & Material Moving,"$50,710 ",Seneca County
Management,"$170,150 ",Steuben County
Business & Financial Operations,"$107,140 ",Steuben County
Computer & Mathematical,"$117,170 ",Steuben County
Architecture & Engineering,"$94,490 ",Steuben County
"Life, Physical, & Social Science","$88,260 ",Steuben County
Community & Social Service,"$62,520 ",Steuben County
Legal,"$155,400 ",Steuben County
"Education, Training, & Library","$78,630 ",Steuben County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Steuben County
Healthcare Practitioners & Technical,"$110,890 ",Steuben County
Healthcare Support,"$38,190 ",Steuben County
Protective Service,"$61,410 ",Steuben County
Food Preparation & Serving Related,"$40,820 ",Steuben County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Steuben County
Personal Care & Service,"$44,260 ",Steuben County
Sales & Related,"$66,550 ",Steuben County
Office & Administrative Support,"$52,820 ",Steuben County
"Farming, Fishing, & Forestry","$41,320 ",Steuben County
Construction & Extraction,"$72,430 ",Steuben County
"Installation, Maintenance, & Repair","$61,100 ",Steuben County
Production,"$47,900 ",Steuben County
Transportation & Material Moving,"$50,710 ",Steuben County
Management,"$170,150 ",St. Lawrence County
Business & Financial Operations,"$107,140 ",St. Lawrence County
Computer & Mathematical,"$117,170 ",St. Lawrence County
Architecture & Engineering,"$94,490 ",St. Lawrence County
"Life, Physical, & Social Science","$88,260 ",St. Lawrence County
Community & Social Service,"$62,520 ",St. Lawrence County
Legal,"$155,400 ",St. Lawrence County
"Education, Training, & Library","$78,630 ",St. Lawrence County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",St. Lawrence County
Healthcare Practitioners & Technical,"$110,890 ",St. Lawrence County
Healthcare Support,"$38,190 ",St. Lawrence County
Protective Service,"$61,410 ",St. Lawrence County
Food Preparation & Serving Related,"$40,820 ",St. Lawrence County
Building & Grounds Cleaning & Maintenance,"$42,720 ",St. Lawrence County
Personal Care & Service,"$44,260 ",St. Lawrence County
Sales & Related,"$66,550 ",St. Lawrence County
Office & Administrative Support,"$52,820 ",St. Lawrence County
"Farming, Fishing, & Forestry","$41,320 ",St. Lawrence County
Construction & Extraction,"$72,430 ",St. Lawrence County
"Installation, Maintenance, & Repair","$61,100 ",St. Lawrence County
Production,"$47,900 ",St. Lawrence County
Transportation & Material Moving,"$50,710 ",St. Lawrence County
Management,"$170,150 ",Suffolk County
Business & Financial Operations,"$107,140 ",Suffolk County
Computer & Mathematical,"$117,170 ",Suffolk County
Architecture & Engineering,"$94,490 ",Suffolk County
"Life, Physical, & Social Science","$88,260 ",Suffolk County
Community & Social Service,"$62,520 ",Suffolk County
Legal,"$155,400 ",Suffolk County
"Education, Training, & Library","$78,630 ",Suffolk County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Suffolk County
Healthcare Practitioners & Technical,"$110,890 ",Suffolk County
Healthcare Support,"$38,190 ",Suffolk County
Protective Service,"$61,410 ",Suffolk County
Food Preparation & Serving Related,"$40,820 ",Suffolk County
