Fields,1 Adult - 0ÊChildren,1 Adult - 1ÊChild,1 Adult - 2ÊChildren,1 Adult - 3ÊChildren,2 Adults (1 W) - 0ÊChildren,2 Adults (1 W) - 1ÊChild,2 Adults (1 W)  - 2ÊChildren,2 Adults (1 W) - 3ÊChildren,2 Adults (Both W) - 0ÊChildren,2 Adults (Both W) - 1ÊChild,2 Adults (Both W) - 2ÊChildren,2 Adults (Both W) - 3ÊChildren,Counties 
Required annual income after taxes,"$37,387 ","$65,756 ","$85,067 ","$110,252 ","$52,372 ","$63,190 ","$73,368 ","$79,276 ","$52,372 ","$74,886 ","$96,136 ","$112,264 ",Delaware County
Annual taxes,"$6,924 ","$9,570 ","$12,424 ","$19,388 ","$8,110 ","$8,445 ","$8,620 ","$7,703 ","$8,110 ","$10,707 ","$12,988 ","$14,791 ",Delaware County
Required annual income before taxes,"$44,311 ","$75,326 ","$97,491 ","$129,640 ","$60,482 ","$71,635 ","$81,988 ","$86,979 ","$60,482 ","$85,593 ","$109,124 ","$127,056 ",Delaware County
Food,"$4,495 ","$6,626 ","$9,939 ","$13,210 ","$8,241 ","$10,258 ","$13,211 ","$16,108 ","$8,241 ","$10,258 ","$13,211 ","$16,108 ",Dutchess County
Child Care,$0 ,"$16,165 ","$31,414 ","$45,444 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,165 ","$31,414 ","$45,444 ",Dutchess County
Medical,"$3,955 ","$9,607 ","$9,458 ","$10,072 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ",Dutchess County
Housing,"$14,515 ","$21,415 ","$21,415 ","$27,165 ","$16,651 ","$21,415 ","$21,415 ","$27,165 ","$16,651 ","$21,415 ","$21,415 ","$27,165 ",Dutchess County
Transportation,"$11,244 ","$13,013 ","$16,391 ","$18,861 ","$13,013 ","$16,391 ","$18,861 ","$18,839 ","$13,013 ","$16,391 ","$18,861 ","$18,839 ",Dutchess County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Dutchess County
Internet & Mobile,"$1,408 ","$1,408 ","$1,408 ","$1,408 ","$1,974 ","$1,974 ","$1,974 ","$1,974 ","$1,974 ","$1,974 ","$1,974 ","$1,974 ",Dutchess County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Dutchess County
Required annual income after taxes,"$43,048 ","$81,421 ","$105,084 ","$135,477 ","$60,062 ","$74,555 ","$84,849 ","$91,985 ","$60,062 ","$90,719 ","$116,264 ","$137,429 ",Dutchess County
Annual taxes,"$8,374 ","$14,250 ","$19,884 ","$29,436 ","$10,075 ","$11,354 ","$11,561 ","$10,959 ","$10,075 ","$14,763 ","$18,646 ","$24,194 ",Dutchess County
Required annual income before taxes,"$51,422 ","$95,671 ","$124,968 ","$164,913 ","$70,137 ","$85,909 ","$96,411 ","$102,944 ","$70,137 ","$105,482 ","$134,910 ","$161,623 ",Dutchess County
Food,"$4,506 ","$6,643 ","$9,964 ","$13,243 ","$8,261 ","$10,284 ","$13,244 ","$16,148 ","$8,261 ","$10,284 ","$13,244 ","$16,148 ",Erie County
Child Care,$0 ,"$16,112 ","$31,065 ","$44,187 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,112 ","$31,065 ","$44,187 ",Erie County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Erie County
Housing,"$11,822 ","$14,458 ","$14,458 ","$17,702 ","$12,332 ","$14,458 ","$14,458 ","$17,702 ","$12,332 ","$14,458 ","$14,458 ","$17,702 ",Erie County
Transportation,"$8,762 ","$10,140 ","$12,773 ","$14,697 ","$10,140 ","$12,773 ","$14,697 ","$14,680 ","$10,140 ","$12,773 ","$14,697 ","$14,680 ",Erie County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Erie County
Internet & Mobile,"$1,467 ","$1,467 ","$1,467 ","$1,467 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ","$2,032 ",Erie County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Erie County
Required annual income after taxes,"$37,110 ","$69,109 ","$91,737 ","$118,180 ","$51,399 ","$61,558 ","$71,315 ","$75,957 ","$51,399 ","$77,670 ","$102,380 ","$120,144 ",Erie County
Annual taxes,"$6,853 ","$10,536 ","$14,910 ","$22,501 ","$7,862 ","$8,028 ","$8,094 ","$6,853 ","$7,862 ","$11,420 ","$14,588 ","$17,610 ",Erie County
Required annual income before taxes,"$43,963 ","$79,645 ","$106,647 ","$140,680 ","$59,261 ","$69,586 ","$79,409 ","$82,810 ","$59,261 ","$89,090 ","$116,968 ","$137,754 ",Erie County
Food,"$4,630 ","$6,825 ","$10,238 ","$13,607 ","$8,489 ","$10,567 ","$13,609 ","$16,592 ","$8,489 ","$10,567 ","$13,609 ","$16,592 ",Essex County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Essex County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Essex County
Housing,"$9,939 ","$11,712 ","$11,712 ","$15,789 ","$9,987 ","$11,712 ","$11,712 ","$15,789 ","$9,987 ","$11,712 ","$11,712 ","$15,789 ",Essex County
Transportation,"$11,097 ","$12,842 ","$16,177 ","$18,614 ","$12,842 ","$16,177 ","$18,614 ","$18,592 ","$12,842 ","$16,177 ","$18,614 ","$18,592 ",Essex County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Essex County
Internet & Mobile,"$1,674 ","$1,674 ","$1,674 ","$1,674 ","$2,240 ","$2,240 ","$2,240 ","$2,240 ","$2,240 ","$2,240 ","$2,240 ","$2,240 ",Essex County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Essex County
Required annual income after taxes,"$38,285 ","$66,218 ","$85,759 ","$110,735 ","$52,921 ","$63,885 ","$74,237 ","$79,786 ","$52,921 ","$75,582 ","$97,005 ","$112,775 ",Essex County
Annual taxes,"$7,154 ","$9,704 ","$12,682 ","$19,577 ","$8,251 ","$8,622 ","$8,842 ","$7,834 ","$8,251 ","$10,885 ","$13,210 ","$14,973 ",Essex County
Required annual income before taxes,"$45,439 ","$75,922 ","$98,441 ","$130,312 ","$61,172 ","$72,508 ","$83,079 ","$87,620 ","$61,172 ","$86,466 ","$110,215 ","$127,748 ",Essex County
Food,"$4,123 ","$6,078 ","$9,117 ","$12,117 ","$7,559 ","$9,410 ","$12,119 ","$14,776 ","$7,559 ","$9,410 ","$12,119 ","$14,776 ",Franklin County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Franklin County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Franklin County
Housing,"$7,394 ","$10,916 ","$10,916 ","$13,883 ","$9,203 ","$10,916 ","$10,916 ","$13,883 ","$9,203 ","$10,916 ","$10,916 ","$13,883 ",Franklin County
Transportation,"$10,752 ","$12,443 ","$15,674 ","$18,035 ","$12,443 ","$15,674 ","$18,035 ","$18,014 ","$12,443 ","$15,674 ","$18,035 ","$18,014 ",Franklin County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Franklin County
Internet & Mobile,"$1,499 ","$1,499 ","$1,499 ","$1,499 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ","$2,064 ",Franklin County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Franklin County
Required annual income after taxes,"$34,712 ","$64,099 ","$83,163 ","$106,584 ","$50,633 ","$61,253 ","$71,195 ","$75,310 ","$50,633 ","$72,949 ","$93,963 ","$108,298 ",Franklin County
Annual taxes,"$6,238 ","$9,093 ","$11,714 ","$18,013 ","$7,666 ","$7,950 ","$8,063 ","$6,687 ","$7,666 ","$10,210 ","$12,431 ","$13,674 ",Franklin County
Required annual income before taxes,"$40,951 ","$73,193 ","$94,877 ","$124,597 ","$58,298 ","$69,203 ","$79,259 ","$81,997 ","$58,298 ","$83,160 ","$106,395 ","$121,971 ",Franklin County
Food,"$4,033 ","$5,945 ","$8,917 ","$11,853 ","$7,394 ","$9,204 ","$11,854 ","$14,453 ","$7,394 ","$9,204 ","$11,854 ","$14,453 ",Fulton County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Fulton County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Fulton County
Housing,"$8,793 ","$11,628 ","$11,628 ","$14,064 ","$8,854 ","$11,628 ","$11,628 ","$14,064 ","$8,854 ","$11,628 ","$11,628 ","$14,064 ",Fulton County
Transportation,"$9,849 ","$11,398 ","$14,357 ","$16,520 ","$11,398 ","$14,357 ","$16,520 ","$16,501 ","$11,398 ","$14,357 ","$16,520 ","$16,501 ",Fulton County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Fulton County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",Fulton County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Fulton County
Required annual income after taxes,"$35,179 ","$63,685 ","$82,411 ","$105,038 ","$49,129 ","$60,495 ","$70,179 ","$73,707 ","$49,129 ","$72,191 ","$92,947 ","$106,695 ",Fulton County
Annual taxes,"$6,358 ","$8,974 ","$11,440 ","$17,436 ","$7,282 ","$7,756 ","$7,803 ","$6,276 ","$7,282 ","$10,016 ","$12,171 ","$13,263 ",Fulton County
Required annual income before taxes,"$41,537 ","$72,659 ","$93,851 ","$122,474 ","$56,411 ","$68,251 ","$77,982 ","$79,983 ","$56,411 ","$82,207 ","$105,118 ","$119,958 ",Fulton County
Food,"$4,078 ","$6,012 ","$9,017 ","$11,985 ","$7,477 ","$9,307 ","$11,986 ","$14,614 ","$7,477 ","$9,307 ","$11,986 ","$14,614 ",Genesee County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Genesee County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Genesee County
Housing,"$7,985 ","$11,773 ","$11,773 ","$14,680 ","$9,698 ","$11,773 ","$11,773 ","$14,680 ","$9,698 ","$11,773 ","$11,773 ","$14,680 ",Genesee County
Transportation,"$11,402 ","$13,196 ","$16,622 ","$19,126 ","$13,196 ","$16,622 ","$19,126 ","$19,104 ","$13,196 ","$16,622 ","$19,126 ","$19,104 ",Genesee County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Genesee County
Internet & Mobile,"$1,434 ","$1,434 ","$1,434 ","$1,434 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ",Genesee County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Genesee County
Required annual income after taxes,"$35,453 ","$64,400 ","$83,625 ","$107,097 ","$51,004 ","$61,712 ","$71,768 ","$75,792 ","$51,004 ","$73,409 ","$94,536 ","$108,780 ",Genesee County
Annual taxes,"$6,428 ","$9,180 ","$11,886 ","$18,204 ","$7,761 ","$8,067 ","$8,210 ","$6,810 ","$7,761 ","$10,328 ","$12,578 ","$13,797 ",Genesee County
Required annual income before taxes,"$41,881 ","$73,579 ","$95,512 ","$125,300 ","$58,764 ","$69,780 ","$79,978 ","$82,602 ","$58,764 ","$83,737 ","$107,114 ","$122,577 ",Genesee County
Food,"$4,416 ","$6,510 ","$9,764 ","$12,978 ","$8,096 ","$10,078 ","$12,980 ","$15,825 ","$8,096 ","$10,078 ","$12,980 ","$15,825 ",Greene County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Greene County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Greene County
Housing,"$11,169 ","$13,932 ","$13,932 ","$18,298 ","$11,640 ","$13,932 ","$13,932 ","$18,298 ","$11,640 ","$13,932 ","$13,932 ","$18,298 ",Greene County
Transportation,"$11,130 ","$12,881 ","$16,226 ","$18,670 ","$12,881 ","$16,226 ","$18,670 ","$18,648 ","$12,881 ","$16,226 ","$18,670 ","$18,648 ",Greene County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Greene County
Internet & Mobile,"$1,570 ","$1,570 ","$1,570 ","$1,570 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ","$2,135 ",Greene County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Greene County
Required annual income after taxes,"$39,226 ","$68,043 ","$87,436 ","$112,553 ","$54,108 ","$65,548 ","$75,765 ","$81,467 ","$54,108 ","$77,244 ","$98,533 ","$114,455 ",Greene County
Annual taxes,"$7,395 ","$10,229 ","$13,307 ","$20,292 ","$8,554 ","$9,047 ","$9,234 ","$8,264 ","$8,554 ","$11,311 ","$13,602 ","$15,572 ",Greene County
Required annual income before taxes,"$46,621 ","$78,273 ","$100,743 ","$132,845 ","$62,661 ","$74,595 ","$84,999 ","$89,731 ","$62,661 ","$88,554 ","$112,136 ","$130,027 ",Greene County
Food,"$4,405 ","$6,493 ","$9,739 ","$12,945 ","$8,076 ","$10,052 ","$12,946 ","$15,785 ","$8,076 ","$10,052 ","$12,946 ","$15,785 ",Hamilton County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Hamilton County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Hamilton County
Housing,"$10,398 ","$13,751 ","$13,751 ","$16,622 ","$10,470 ","$13,751 ","$13,751 ","$16,622 ","$10,470 ","$13,751 ","$13,751 ","$16,622 ",Hamilton County
Transportation,"$13,998 ","$16,200 ","$20,406 ","$23,480 ","$16,200 ","$20,406 ","$23,480 ","$23,453 ","$16,200 ","$20,406 ","$23,480 ","$23,453 ",Hamilton County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Hamilton County
Internet & Mobile,"$1,434 ","$1,434 ","$1,434 ","$1,434 ","$1,999 ","$1,999 ","$1,999 ","$1,999 ","$1,999 ","$1,999 ","$1,999 ","$1,999 ",Hamilton County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Hamilton County
Required annual income after taxes,"$41,179 ","$71,041 ","$91,288 ","$115,531 ","$56,108 ","$69,398 ","$80,238 ","$84,431 ","$56,108 ","$81,095 ","$103,006 ","$117,420 ",Hamilton County
Annual taxes,"$7,895 ","$11,093 ","$14,742 ","$21,461 ","$9,065 ","$10,033 ","$10,380 ","$9,024 ","$9,065 ","$12,297 ","$14,748 ","$16,627 ",Hamilton County
Required annual income before taxes,"$49,074 ","$82,134 ","$106,030 ","$136,991 ","$65,172 ","$79,431 ","$90,618 ","$93,455 ","$65,172 ","$93,392 ","$117,755 ","$134,047 ",Hamilton County
Food,"$3,977 ","$5,862 ","$8,793 ","$11,687 ","$7,291 ","$9,075 ","$11,688 ","$14,251 ","$7,291 ","$9,075 ","$11,688 ","$14,251 ",Herkimer County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Herkimer County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Herkimer County
Housing,"$8,489 ","$10,727 ","$10,727 ","$12,966 ","$8,543 ","$10,727 ","$10,727 ","$12,966 ","$8,543 ","$10,727 ","$10,727 ","$12,966 ",Herkimer County
Transportation,"$10,378 ","$12,010 ","$15,129 ","$17,408 ","$12,010 ","$15,129 ","$17,408 ","$17,388 ","$12,010 ","$15,129 ","$17,408 ","$17,388 ",Herkimer County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Herkimer County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",Herkimer County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Herkimer County
Required annual income after taxes,"$35,352 ","$63,327 ","$82,171 ","$104,675 ","$49,336 ","$60,251 ","$70,015 ","$73,306 ","$49,336 ","$71,947 ","$92,783 ","$106,294 ",Herkimer County
Annual taxes,"$6,402 ","$8,871 ","$11,355 ","$17,301 ","$7,335 ","$7,694 ","$7,761 ","$6,174 ","$7,335 ","$9,953 ","$12,129 ","$13,160 ",Herkimer County
Required annual income before taxes,"$41,754 ","$72,198 ","$93,525 ","$121,976 ","$56,671 ","$67,944 ","$77,775 ","$79,480 ","$56,671 ","$81,900 ","$104,911 ","$119,455 ",Herkimer County
Food,"$4,168 ","$6,145 ","$9,216 ","$12,250 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ","$7,642 ","$9,512 ","$12,251 ","$14,937 ",Jefferson County
Child Care,$0 ,"$12,591 ","$24,510 ","$35,513 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,591 ","$24,510 ","$35,513 ",Jefferson County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Jefferson County
Housing,"$11,121 ","$16,404 ","$16,404 ","$22,230 ","$12,484 ","$16,404 ","$16,404 ","$22,230 ","$12,484 ","$16,404 ","$16,404 ","$22,230 ",Jefferson County
Transportation,"$9,915 ","$11,474 ","$14,454 ","$16,631 ","$11,474 ","$14,454 ","$16,631 ","$16,611 ","$11,474 ","$14,454 ","$16,631 ","$16,611 ",Jefferson County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Jefferson County
Internet & Mobile,"$1,538 ","$1,538 ","$1,538 ","$1,538 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ",Jefferson County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Jefferson County
Required annual income after taxes,"$37,686 ","$69,620 ","$89,312 ","$116,223 ","$53,066 ","$65,663 ","$75,451 ","$82,455 ","$53,066 ","$78,255 ","$99,962 ","$117,968 ",Jefferson County
Annual taxes,"$7,000 ","$10,683 ","$14,006 ","$21,733 ","$8,288 ","$9,077 ","$9,153 ","$8,518 ","$8,288 ","$11,569 ","$13,968 ","$16,823 ",Jefferson County
Required annual income before taxes,"$44,687 ","$80,303 ","$103,318 ","$137,956 ","$61,354 ","$74,740 ","$84,605 ","$90,972 ","$61,354 ","$89,824 ","$113,930 ","$134,790 ",Jefferson County
Food,"$5,047 ","$7,440 ","$11,159 ","$14,832 ","$9,253 ","$11,518 ","$14,834 ","$18,086 ","$9,253 ","$11,518 ","$14,834 ","$18,086 ",Kings County
Child Care,$0 ,"$18,916 ","$36,271 ","$50,443 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$18,916 ","$36,271 ","$50,443 ",Kings County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",Kings County
Housing,"$28,187 ","$32,511 ","$32,511 ","$40,568 ","$28,955 ","$32,511 ","$32,511 ","$40,568 ","$28,955 ","$32,511 ","$32,511 ","$40,568 ",Kings County
Transportation,"$4,897 ","$5,667 ","$7,139 ","$8,214 ","$5,667 ","$7,139 ","$8,214 ","$8,205 ","$5,667 ","$7,139 ","$8,214 ","$8,205 ",Kings County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Kings County
Internet & Mobile,"$1,531 ","$1,531 ","$1,531 ","$1,531 ","$2,097 ","$2,097 ","$2,097 ","$2,097 ","$2,097 ","$2,097 ","$2,097 ","$2,097 ",Kings County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Kings County
Required annual income after taxes,"$51,323 ","$89,686 ","$113,954 ","$145,804 ","$66,668 ","$78,607 ","$87,871 ","$97,681 ","$66,668 ","$97,523 ","$124,142 ","$148,124 ",Kings County
Annual taxes,"$10,494 ","$17,308 ","$23,266 ","$33,512 ","$11,764 ","$12,392 ","$12,335 ","$12,419 ","$11,764 ","$16,506 ","$21,547 ","$28,282 ",Kings County
Required annual income before taxes,"$61,817 ","$106,994 ","$137,220 ","$179,316 ","$78,432 ","$91,000 ","$100,206 ","$110,100 ","$78,432 ","$114,029 ","$145,688 ","$176,407 ",Kings County
Food,"$3,774 ","$5,563 ","$8,345 ","$11,091 ","$6,919 ","$8,613 ","$11,092 ","$13,524 ","$6,919 ","$8,613 ","$11,092 ","$13,524 ",Lewis County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Lewis County
Medical,"$3,514 ","$8,280 ","$8,132 ","$8,745 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ","$6,176 ","$8,132 ","$8,745 ","$8,208 ",Lewis County
Housing,"$8,359 ","$10,916 ","$10,916 ","$13,992 ","$8,528 ","$10,916 ","$10,916 ","$13,992 ","$8,528 ","$10,916 ","$10,916 ","$13,992 ",Lewis County
Transportation,"$11,900 ","$13,771 ","$17,347 ","$19,961 ","$13,771 ","$17,347 ","$19,961 ","$19,937 ","$13,771 ","$17,347 ","$19,961 ","$19,937 ",Lewis County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Lewis County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",Lewis County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Lewis County
Required annual income after taxes,"$36,541 ","$64,979 ","$84,130 ","$107,658 ","$50,711 ","$62,195 ","$72,160 ","$76,156 ","$50,711 ","$73,891 ","$94,928 ","$109,144 ",Lewis County
Annual taxes,"$6,707 ","$9,347 ","$12,074 ","$18,413 ","$7,686 ","$8,190 ","$8,310 ","$6,904 ","$7,686 ","$10,452 ","$12,678 ","$13,890 ",Lewis County
Required annual income before taxes,"$43,248 ","$74,325 ","$96,204 ","$126,070 ","$58,396 ","$70,386 ","$80,470 ","$83,059 ","$58,396 ","$84,343 ","$107,606 ","$123,034 ",Lewis County
Food,"$4,225 ","$6,228 ","$9,341 ","$12,415 ","$7,745 ","$9,641 ","$12,417 ","$15,139 ","$7,745 ","$9,641 ","$12,417 ","$15,139 ",Livingston County
Child Care,$0 ,"$12,935 ","$25,178 ","$36,480 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,935 ","$25,178 ","$36,480 ",Livingston County
Medical,"$3,326 ","$7,714 ","$7,565 ","$8,178 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ",Livingston County
Housing,"$9,943 ","$13,855 ","$13,855 ","$16,749 ","$11,130 ","$13,855 ","$13,855 ","$16,749 ","$11,130 ","$13,855 ","$13,855 ","$16,749 ",Livingston County
Transportation,"$11,526 ","$13,339 ","$16,803 ","$19,334 ","$13,339 ","$16,803 ","$19,334 ","$19,312 ","$13,339 ","$16,803 ","$19,334 ","$19,312 ",Livingston County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Livingston County
Internet & Mobile,"$1,434 ","$1,434 ","$1,434 ","$1,434 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ",Livingston County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Livingston County
